"States","Number_Teams","Mean_Salary"
"Alabama",0,NA
"Alaska",0,NA
"Arizona",1,4997362.5
"Arkansas",0,NA
"California",4,9731450
"CANADA",NA,4e+06
"Colorado",1,12092882
"Connecticut",0,NA
"Delaware",0,NA
"Florida",2,4502140
"Georgia",1,5005350
"Hawaii",0,NA
"Idaho",0,NA
"Illinois",1,5837760
"Indiana",1,9e+06
"Iowa",0,NA
"Kansas",0,NA
"Kentucky",0,NA
"Louisiana",1,14536585.5
"Maine",0,NA
"Maryland",0,NA
"Massachusetts",1,6266690
"Michigan",1,3e+06
"Minnesota",1,4259259
"Mississippi",0,NA
"Missouri",0,NA
"Montana",0,NA
"Nebraska",0,NA
"Nevada",0,NA
"New Hampshire",0,NA
"New Jersey",0,NA
"New Mexico",0,NA
"New York",2,4823051
"North Carolina",1,4215120
"North Dakota",0,NA
"Ohio",1,6695275.5
"Oklahoma",1,2412840
"Oregon",1,6835262.5
"Pennsylvania",1,8186047
"Rhode Island",0,NA
"South Carolina",0,NA
"South Dakota",0,NA
"Tennessee",1,8809030
"Texas",3,5890000
"Utah",1,12420000
"Vermont",0,NA
"Virginia",0,NA
"Washington",0,NA
"Washington DC",NA,4958080
"Washington DC*",1,NA
"West Virginia",0,NA
"Wisconsin",1,8151750
"Wyoming",0,NA
